date,Rihanna,Kendrick Lamar,Taylor Swift,Travis Scott,BTS,Blackpink,Doja Cat,Olivia Rodrigo,Zendaya,Jenna Ortega,Wednesday,Stranger Things
18-05-2025,4.131054131,4.131054131,12.39316239,4.131054131,12.39316239,4.131054131,0,4.131054131,4.131054131,4.131054131,8.262108262,8.262108262
25-05-2025,3.983516484,3.983516484,27.88461538,3.983516484,11.95054945,3.983516484,0,3.983516484,0,3.983516484,7.967032967,11.95054945
01-06-2025,3.717948718,3.717948718,14.87179487,3.717948718,14.87179487,3.717948718,0,3.717948718,3.717948718,3.717948718,11.15384615,18.58974359
08-06-2025,3.890876565,3.890876565,15.56350626,3.890876565,23.34525939,7.781753131,0,3.890876565,0,0,7.781753131,11.6726297
15-06-2025,3.846153846,3.846153846,11.53846154,7.692307692,15.38461538,3.846153846,0,3.846153846,0,3.846153846,7.692307692,11.53846154
22-06-2025,3.759723423,3.759723423,11.27917027,3.759723423,18.79861711,3.759723423,0,3.759723423,0,3.759723423,7.519446845,7.519446845
29-06-2025,4.080675422,4.080675422,12.24202627,4.080675422,20.40337711,4.080675422,0,8.161350844,0,0,8.161350844,8.161350844
06-07-2025,3.936651584,3.936651584,11.80995475,3.936651584,15.74660633,11.80995475,0,3.936651584,0,0,7.873303167,7.873303167
13-07-2025,3.846153846,3.846153846,11.53846154,7.692307692,15.38461538,11.53846154,0,3.846153846,0,0,7.692307692,15.38461538
20-07-2025,3.677092139,3.677092139,11.03127642,3.677092139,14.70836855,7.354184277,0,3.677092139,0,0,11.03127642,14.70836855
27-07-2025,3.717948718,3.717948718,14.87179487,3.717948718,14.87179487,7.435897436,0,3.717948718,3.717948718,3.717948718,14.87179487,11.15384615
03-08-2025,3.4144427,3.4144427,10.2433281,3.4144427,13.6577708,6.8288854,0,3.4144427,3.4144427,10.2433281,64.8744113,10.2433281
10-08-2025,3.346153846,3.346153846,53.53846154,3.346153846,13.38461538,6.692307692,0,3.346153846,3.346153846,10.03846154,56.88461538,6.692307692
17-08-2025,3.44964314,3.44964314,27.59714512,3.44964314,13.79857256,6.899286281,3.44964314,3.44964314,3.44964314,6.899286281,31.04678826,6.899286281
24-08-2025,3.802447552,3.802447552,68.44405594,3.802447552,15.20979021,3.802447552,3.802447552,3.802447552,3.802447552,3.802447552,26.61713287,7.604895105
31-08-2025,3.890876565,3.890876565,23.34525939,3.890876565,15.56350626,3.890876565,0,0,3.936651584,3.936651584,55.11312217,7.873303167
07-09-2025,7.967032967,3.802447552,26.61713287,11.27917027,19.23076923,3.717948718,3.717948718,3.802447552,3.759723423,10.91137124,100,11.03127642
