ds,yhat,yhat_lower,yhat_upper
2024-01-14,3.598979230780129,2.8035569140551106,4.472395742516906
2024-01-21,3.601549390971554,2.7634102954718784,4.439528619658718
2024-01-28,3.6041195511629796,2.780163744538324,4.460327015040619
2024-02-04,3.6066897113544045,2.7699555061572902,4.420178372340053
2024-02-11,3.609259868852039,2.7125739334579904,4.423666962968213
2024-02-18,3.6118300263496734,2.7029844690163114,4.4355900858246615
2024-02-25,3.614400183847308,2.804206945584925,4.431587493533362
2024-03-03,3.6169703406259246,2.7670774115265933,4.43982643206041
2024-03-10,3.61954049740454,2.7787614202330206,4.473248348338619
2024-03-17,3.6221106541831567,2.7646132606616916,4.445065401881813
2024-03-24,3.6246808101570833,2.798278211735511,4.43081803583947
2024-03-31,3.62725096613101,2.831091778790343,4.446248872004917
2024-04-07,3.6298211221049366,2.823000739491374,4.422861890297642
2024-04-14,3.632391278078863,2.8256296117831954,4.49583251480349
2024-04-21,3.634961430815142,2.69885640804289,4.439941690090085
2024-04-28,3.6375315835514193,2.8011801365640103,4.443353411600154
2024-05-05,3.640101736287698,2.74559796928372,4.451262098735071
2024-05-12,3.642671889448661,2.8082695446752957,4.50267389238913
2024-05-19,3.6452420426096244,2.794183409359339,4.504976251235245
2024-05-26,3.6478121957705882,2.75834651096998,4.477133310836523
2024-06-02,3.6503823483515667,2.7783801540322637,4.506012021549553
2024-06-09,3.652952500932546,2.830625156415419,4.491106608171178
2024-06-16,3.6555226535135237,2.812212196166645,4.458591569642182
2024-06-23,3.658092806388492,2.7942685993686562,4.428509405537715
2024-06-30,3.660662959263461,2.864897372147193,4.529336598770993
2024-07-07,3.663233112138429,2.7802346792958486,4.493238815346488
2024-07-14,3.665803266897851,2.8780074143315364,4.480594636160687
2024-07-21,3.668373421657273,2.7542945009553033,4.510676103355298
2024-07-28,3.6709435764166956,2.8617586105780046,4.450362789938092
2024-08-04,3.6735137337521553,2.856665635828776,4.547309181382774
2024-08-11,3.676083891087615,2.860336537425404,4.545918967555908
2024-08-18,3.6786540484230748,2.797445031091393,4.564293972302422
2024-08-25,3.6812242057585336,2.8865853741857164,4.508855566289494
2024-09-01,3.683794366383057,2.8512908032287037,4.527096720173883
2024-09-08,3.6863645270075804,2.8654283540118395,4.5230421016254825
2024-09-15,3.688934687632105,2.8565645981928274,4.569783061142301
2024-09-22,3.6915048488928575,2.841352045688121,4.542460087691528
2024-09-29,3.6940750101536097,2.8584484673056414,4.534709623756066
2024-10-06,3.696645171414362,2.876447863736049,4.533482940765163
2024-10-13,3.699215335965509,2.832962821969585,4.51426497991148
2024-10-20,3.701785500516656,2.8783547239943337,4.534316682385567
2024-10-27,3.7043556650678027,2.8729782732973286,4.568517048595155
2024-11-03,3.706925833258692,2.8463549195668745,4.5520011539221805
2024-11-10,3.709496001449581,2.8244033280231413,4.538553547165738
2024-11-17,3.71206616964047,2.806643192893018,4.534227249303369
2024-11-24,3.7146367601346273,2.8350578933433024,4.547301005635142
2024-12-01,3.7172073506287844,2.902289796607501,4.525825093007848
2024-12-08,3.7197779411229415,2.908796272496747,4.547729539075045
2024-12-15,3.728287220919628,2.879624801502763,4.63057326997249
2024-12-22,3.736796500716314,2.864289503552886,4.606733983946358
2024-12-29,3.7453057805130006,2.8850460365854906,4.612655897789093
2025-01-05,3.753815060309687,2.932254105819025,4.595490229397737
2025-01-12,3.7710099447325454,2.922655746595829,4.597420369883461
2025-01-19,3.788204829155404,2.9254626277738307,4.643407058195615
2025-01-26,3.8053997135782622,2.9839014139517683,4.707054269320461
2025-02-02,3.830372152718648,3.038792731702707,4.634461644553049
2025-02-09,3.8553445918590343,3.0236178426990783,4.705811682241972
2025-02-16,3.8803170309994206,3.037004885406974,4.6922543203007425
2025-02-23,3.9099748360684283,3.0824544083238106,4.739102911408609
2025-03-02,3.9396326411374356,3.0552022686960383,4.803444224410615
2025-03-09,3.969290446206444,3.0627171545054486,4.754788548244522
2025-03-16,3.9999579670238674,3.115386913566085,4.808267416494422
2025-03-23,4.0306254878412915,3.235443876458037,4.87573022333241
2025-03-30,4.061293008658715,3.191468663451891,4.897413009076306
2025-04-06,4.092061641905967,3.267353842708252,4.914570625870641
2025-04-13,4.122830275153218,3.3558181307979225,4.988403604866356
2025-04-20,4.153598908400469,3.3352098635824574,4.994317330783747
2025-04-27,4.185375827396281,3.342126980332498,5.057949318100524
2025-05-04,4.217152746392092,3.406561833262483,5.109982603085223
2025-05-11,4.2489296653879025,3.375130602390324,5.067109116682796
2025-05-18,4.280706584383714,3.4583814595514197,5.122628070964137
2025-05-25,4.316146047611049,3.500448662833327,5.1684250183466265
2025-06-01,4.351585510838385,3.5280206232192417,5.244069198847261
2025-06-08,4.387024974065721,3.5082330443449323,5.227260429228802
2025-06-15,4.423963255892266,3.603861661554695,5.284452833743461
2025-06-22,4.460901537718811,3.6577193671574393,5.336619975201831
2025-06-29,4.497839819545355,3.599122910008426,5.329062027364958
2025-07-06,4.534778100774272,3.7013128693714363,5.369766255666138
2025-07-13,4.571716382003188,3.6972312615929495,5.463026607634492
2025-07-20,4.608654663232104,3.810540837535442,5.431465298042367
2025-07-27,4.589216201132886,3.7201774060009973,5.427520028552358
2025-08-03,4.569777739033667,3.738473783514909,5.475855063519076
2025-08-10,4.550339276934449,3.705923909557572,5.417731270213245
2025-08-17,4.530900814835231,3.640555693267713,5.377172425078765
2025-08-24,4.511462352736013,3.695334609354662,5.307218351627737
2025-08-31,4.492023890636794,3.61760218691054,5.350072289082047
2025-09-07,4.472585428537576,3.6176099276688714,5.323138190670561
