ds,yhat,yhat_lower,yhat_upper
2024-01-14,3.535230767485681,2.863292696303192,4.274424566917377
2024-01-21,3.718784304941895,2.984736448904347,4.441749639417002
2024-01-28,3.902337842398109,3.1500920450348975,4.547820756804055
2024-02-04,4.085891379854323,3.372418382513667,4.845824738890081
2024-02-11,4.269444918720182,3.5787396992958795,5.005558459290297
2024-02-18,4.45299845758604,3.737460317665411,5.245189712106011
2024-02-25,4.636551996451899,3.9033246213063437,5.360782153133991
2024-03-03,4.820105537472453,4.0613090709792,5.513983514656842
2024-03-10,5.003659078493008,4.251231140531253,5.747538252679844
2024-03-17,5.187212619513564,4.46434764423725,5.901879894966317
2024-03-24,5.370766157770257,4.696126592283993,6.0960119177655505
2024-03-31,5.55431969602695,4.775284203599098,6.285216168563862
2024-04-07,5.7378732342836445,5.057878791442244,6.453175816989314
2024-04-14,5.921426772540338,5.196097550235609,6.638653153025217
2024-04-21,6.053884209327668,5.366519320028379,6.735352377594584
2024-04-28,6.186341646115,5.45372066321045,6.922949911167998
2024-05-05,6.318799082902332,5.606286798108641,7.032708322395662
2024-05-12,6.383952970296326,5.680083455627265,7.10733661539466
2024-05-19,6.449106857690319,5.739541739231645,7.19560017411883
2024-05-26,6.514260745084313,5.848557772744907,7.269743441213352
2024-06-02,6.5144317809527355,5.823762260130359,7.21998018723802
2024-06-09,6.514602816821159,5.783086594374456,7.293192456009268
2024-06-16,6.514773852689582,5.82524405394079,7.25619289247227
2024-06-23,6.408633517858883,5.703777495606486,7.103261678619055
2024-06-30,6.302493183028183,5.604271899270633,7.046245007372441
2024-07-07,6.196352848197481,5.426867480335329,6.937542181333246
2024-07-14,6.018201411251931,5.265858645407352,6.7471311822179025
2024-07-21,5.84004997430638,5.112268998133386,6.574837605481102
2024-07-28,5.6618985373608295,4.948486586756321,6.413155788290377
2024-08-04,5.483746700489203,4.758353932131053,6.224232697777809
2024-08-11,5.305594863617576,4.564661046715815,5.993048482704227
2024-08-18,5.127443026745948,4.419705459883678,5.831301102782981
2024-08-25,4.949291189874323,4.273450898019741,5.657662496097179
2024-09-01,4.848077427382964,4.1419419595953135,5.509581747060046
2024-09-08,4.746863664891603,3.978548469923935,5.465607933081824
2024-09-15,4.645649902400242,3.927959167965525,5.334931615211284
2024-09-22,4.721121919974696,4.022232890768949,5.446343011881626
2024-09-29,4.796593937549149,4.082695743083179,5.510733990054533
2024-10-06,4.872065955123603,4.152229234461155,5.641416892781392
2024-10-13,4.947537973068598,4.215043359038269,5.6752684031991985
2024-10-20,5.023009991013592,4.3153191967199005,5.7437858902395815
2024-10-27,5.0984820089585865,4.4293874997954505,5.826855572010732
2024-11-03,5.1739533883812205,4.471966560635031,5.89445516893863
2024-11-10,5.249424767803855,4.546300971590363,5.972980988640061
2024-11-17,5.324896147226491,4.586641278472732,6.0314072211929055
2024-11-24,5.348492881119006,4.5828319921296945,6.064302646127725
2024-12-01,5.37208961501152,4.648862230926236,6.109849459604256
2024-12-08,5.3956863489040305,4.689728782508259,6.121994905274999
2024-12-15,5.3183190076036935,4.62569074913487,5.997793052961667
2024-12-22,5.240951666303358,4.514075082521614,5.972970040137787
2024-12-29,5.163584325003021,4.3744623855468285,5.91163211778241
2025-01-05,5.08621698370269,4.382747718582026,5.816056874352293
2025-01-12,5.008849360941882,4.27517464892807,5.731401666432574
2025-01-19,4.931481738181076,4.240951078812432,5.652961424493211
2025-01-26,4.854114115420269,4.149089072100354,5.580994104667203
2025-02-02,4.77674649343689,4.039852061633359,5.474400889823587
2025-02-09,4.699378871453513,3.983247366764117,5.412806451345098
2025-02-16,4.622011249470137,3.894898391715891,5.359402330577614
2025-02-23,4.558800614301839,3.786131330827472,5.208800461400444
2025-03-02,4.495589979133543,3.750174459610022,5.182016582202929
2025-03-09,4.432379343965249,3.7128809931316265,5.131250983895495
2025-03-16,4.4353916490352185,3.744105215005197,5.181304906229725
2025-03-23,4.438403954105188,3.7003928782680577,5.1682420921459515
2025-03-30,4.441416259175157,3.7281247470197285,5.168790116127342
2025-04-06,4.444428665476803,3.7038766691620717,5.183007010949933
2025-04-13,4.447441071778449,3.7775026924990946,5.142969981408222
2025-04-20,4.450453478080093,3.729050965798696,5.169660823412069
2025-04-27,4.453465885675173,3.682982786425428,5.193633980392592
2025-05-04,4.456478293270252,3.7418678124886458,5.218404264906882
2025-05-11,4.459490700865332,3.71998877099637,5.1983011005896484
2025-05-18,4.462503108460409,3.779246960348237,5.239298743517748
2025-05-25,4.465515518514569,3.741242918870001,5.198888897232468
2025-06-01,4.4685279285687285,3.7669456694311574,5.221446372601414
2025-06-08,4.471540338622887,3.7612204830110514,5.163447575613037
2025-06-15,4.474552750022493,3.7881127448830663,5.19537171188282
2025-06-22,4.477565161422099,3.7803799430927154,5.239891574259051
2025-06-29,4.4805775728217005,3.728679699778097,5.209950596812297
2025-07-06,4.483589987421177,3.763532035062763,5.2402858259350875
2025-07-13,4.486602402020653,3.770417553077523,5.207740597298302
2025-07-20,4.489614816620129,3.742376665207488,5.192239712021025
2025-07-27,4.492627236665547,3.7934325208921553,5.185618427588312
2025-08-03,4.495639656710966,3.7861295599870397,5.224948939318742
2025-08-10,4.498652076756385,3.741196718746781,5.198700475803749
2025-08-17,4.501664496801804,3.7408875994349193,5.256705838530508
2025-08-24,4.504676916847222,3.786501697452132,5.241410557301635
2025-08-31,4.507689336892641,3.8323751114163933,5.220082750032804
2025-09-07,4.510701756938059,3.76603758229109,5.238622897267703
2025-09-14,4.513714176983478,3.7897927358185237,5.240222795929233
2025-09-21,4.516726597028897,3.836071270868867,5.236009498267719
2025-09-28,4.519739017074316,3.802741124422077,5.2447650742458585
2025-10-05,4.522751437119734,3.794827252442046,5.236404660163202
2025-10-12,4.525763857165153,3.77935538488806,5.298520790407287
2025-10-19,4.528776277210571,3.7845025771986123,5.227890888788091
2025-10-26,4.53178869725599,3.81320826925991,5.230024230373718
2025-11-02,4.5348011173014084,3.8305451411296674,5.313862273085981
2025-11-09,4.537813537346827,3.792545617731607,5.305177801731998
2025-11-16,4.540825957392245,3.8436128798228353,5.229647722296864
2025-11-23,4.543838377437664,3.86020411773715,5.208077786657235
2025-11-30,4.546850797483083,3.782904085599673,5.225607355098042
2025-12-07,4.549863217528502,3.8632768077064377,5.270246986426937
2025-12-14,4.552875637573921,3.817511600360429,5.294110355548373
2025-12-21,4.555888057619339,3.814912638877587,5.301453379237577
2025-12-28,4.558900477664758,3.8454614483629506,5.256723642164986
2026-01-04,4.561912897710176,3.8190621211069904,5.316412944738079
2026-01-11,4.564925317755595,3.833995113356173,5.224303387633839
2026-01-18,4.567937737801014,3.8364439175588885,5.340827853458991
2026-01-25,4.570950157846433,3.8115732030987775,5.362837734804468
2026-02-01,4.573962577891851,3.7963352232757996,5.362426618512534
2026-02-08,4.57697499793727,3.708082023448128,5.476764135178117
2026-02-15,4.579987417982688,3.7006303636477638,5.508763063077388
2026-02-22,4.5829998380281065,3.6809433878548914,5.491349227293399
2026-03-01,4.586012258073525,3.6792355888978934,5.682349187253735
