ds,yhat,yhat_lower,yhat_upper
2024-01-14,4.032423744435188,3.889804802582405,4.167540660269959
2024-01-21,4.032407900639024,3.8903913102296195,4.166524578147117
2024-01-28,4.03239205684286,3.8940763644460503,4.164841272423792
2024-02-04,4.032376213046697,3.8937962783170335,4.164972709445763
2024-02-11,4.032360370481174,3.8938117952784395,4.165701495580758
2024-02-18,4.032344527915651,3.8989006604996335,4.174723204740301
2024-02-25,4.032328685350129,3.9037271411228587,4.179043728046875
2024-03-03,4.032312843728111,3.8967163752463456,4.174667143421322
2024-03-10,4.032297002106091,3.9009670130313436,4.180497868444917
2024-03-17,4.0322811604840725,3.897829757767928,4.162247366796105
2024-03-24,4.032265320082339,3.884921333547464,4.166284555239911
2024-03-31,4.032249479680606,3.9010802441016637,4.163450507894301
2024-04-07,4.032233639278872,3.8837690008186865,4.175797433202502
2024-04-14,4.032217798877139,3.8979857370575655,4.174169046357435
2024-04-21,4.032201957552189,3.8884811455114168,4.159519059149477
2024-04-28,4.0321861162272405,3.8947823937126165,4.170535940055058
2024-05-05,4.032170274902291,3.8921292146155224,4.1666919374516835
2024-05-12,4.032154434589833,3.883141679398205,4.1673078390989104
2024-05-19,4.032138594277375,3.885131871557254,4.164095836812375
2024-05-26,4.032122753964917,3.8931473119637348,4.175171746089367
2024-06-02,4.032106915323403,3.8876547600974316,4.1671161680654105
2024-06-09,4.032091076681888,3.8926325249550953,4.172902040131568
2024-06-16,4.032075238040372,3.8915096409441943,4.166021621137392
2024-06-23,4.032059398966325,3.888036003746241,4.162707124202223
2024-06-30,4.032043559892278,3.885441221222584,4.166373808964886
2024-07-07,4.032027720818231,3.892772100742191,4.176931917631626
2024-07-14,4.032011881569866,3.8961492215646287,4.171780311269095
2024-07-21,4.0319960423214996,3.900869179825657,4.164838567280785
2024-07-28,4.031980203073134,3.897222223085834,4.175804134043745
2024-08-04,4.031964362983673,3.898748548296684,4.165836773232441
2024-08-11,4.031948522894211,3.8887000891610835,4.1683043140036995
2024-08-18,4.031932682804751,3.8954067986412877,4.1657535142567514
2024-08-25,4.031916842715289,3.8998440729739783,4.172903155709459
2024-09-01,4.031901002227386,3.894812985192406,4.162381370593564
2024-09-08,4.031885161739482,3.891890797991971,4.1660841399672535
2024-09-15,4.031869321251579,3.8877153027871643,4.169957707605929
2024-09-22,4.0318534795009775,3.8926557091960916,4.179311682458404
2024-09-29,4.031837637750376,3.8891762813779813,4.166387091667273
2024-10-06,4.031821795999775,3.8955238131731065,4.1733027649921315
2024-10-13,4.031802708805722,3.8797630921406125,4.1653954044504
2024-10-20,4.031783621611669,3.8951812162908976,4.177950683943164
2024-10-27,4.031764534417615,3.9023365627078674,4.1861590295848154
2024-11-03,4.031693628058791,3.904971059965507,4.170558307167886
2024-11-10,4.031622721699967,3.8906212159601656,4.167111874918871
2024-11-17,4.031551815341143,3.885831636501838,4.161969603273535
2024-11-24,4.028178604940993,3.89526757853577,4.1600015868906075
2024-12-01,4.024805394540842,3.8947195520973095,4.150399152416095
2024-12-08,4.021432184140692,3.879243005049165,4.15385105414206
2024-12-15,4.006520912404335,3.862739867349267,4.148194333755761
2024-12-22,3.9916096406679777,3.845816866598835,4.131141806102684
2024-12-29,3.9766983689316207,3.8443018787483956,4.120792013253411
2025-01-05,3.9617870971952636,3.83371333034992,4.102693725486436
2025-01-12,3.9466720615079987,3.8088315657978535,4.081851811069311
2025-01-19,3.931557025820734,3.799224201895195,4.074172120622174
2025-01-26,3.91644199013347,3.767721911092743,4.058576114640846
2025-02-02,3.901326951506554,3.769784680370912,4.03997509729185
2025-02-09,3.886211912879638,3.7368616219608115,4.026884623065752
2025-02-16,3.871096874252722,3.7337122717688125,4.013081354434736
2025-02-23,3.851620922041416,3.7062915027293064,3.9889098563130228
2025-03-02,3.832144969830111,3.694713756588635,3.96805960213839
2025-03-09,3.8126690176188056,3.6820189078368926,3.943446978920989
2025-03-16,3.804624515684084,3.66552217643686,3.9407065540061827
2025-03-23,3.796580013749362,3.652715049081055,3.9418835934738143
2025-03-30,3.788535511814641,3.6431984625644755,3.9348147490797865
2025-04-06,3.814249739904774,3.6713801588245536,3.9502897367994585
2025-04-13,3.839963967994908,3.706716065125621,3.980933032906827
2025-04-20,3.865678196085041,3.7128425818853015,3.99944544289063
2025-04-27,3.8913924242923734,3.75180942517669,4.031056825969076
2025-05-04,3.917106652499706,3.771318612131077,4.053072026753586
2025-05-11,3.9428208807070386,3.8052788067104557,4.082244638827029
2025-05-18,3.9685351089143706,3.8235824595807104,4.107493944058658
2025-05-25,3.942627675650858,3.801637689136558,4.0824760935654725
2025-06-01,3.9167202423873446,3.769609136686912,4.051239378251908
2025-06-08,3.890812809123833,3.754864026787178,4.039305280749841
2025-06-15,3.86490537679864,3.726367570208518,4.008082841772285
2025-06-22,3.838997944473447,3.6997686571183985,3.969266638678398
2025-06-29,3.813090512148253,3.67195279886728,3.9585739364621704
2025-07-06,3.7871831193457504,3.6543387823581157,3.920367561658383
2025-07-13,3.7612757265432486,3.6201965820916215,3.8867069964226353
2025-07-20,3.7353683337407464,3.6097133674226214,3.8696167504358447
2025-07-27,3.7413848449457507,3.6018137061605215,3.8886268943920768
2025-08-03,3.7474013561507555,3.5986108938902985,3.8943635997744392
2025-08-10,3.75341786735576,3.613666291819,3.8907439935699974
2025-08-17,3.7594343785607642,3.629289529117487,3.901987810349
2025-08-24,3.765450889765769,3.627051741263353,3.8989253991087693
2025-08-31,3.7714674009707734,3.642102926702146,3.910862143692336
2025-09-07,3.777483912175778,3.630155760874516,3.919209893775628
2025-09-14,3.7835004233807825,3.65099336382603,3.9304081934879718
2025-09-21,3.789516934585787,3.6504812719564206,3.920892050372448
2025-09-28,3.7955334457907917,3.6586664373812314,3.9449100327954927
2025-10-05,3.801549956995796,3.6690160758832735,3.9217106322970614
2025-10-12,3.8075664682008004,3.6753696949299517,3.948533616975465
2025-10-19,3.813582979405805,3.6695144054689144,3.9475665095018426
2025-10-26,3.8195994906108095,3.698334407324855,3.9573413893987466
