ds,yhat,yhat_lower,yhat_upper
2024-01-14,5.203714960237729,4.3531372579946535,6.045083572328473
2024-01-21,5.1645018538855965,4.385421108572357,6.00756129928103
2024-01-28,5.125288747533463,4.239974073501379,5.929445737324527
2024-02-04,5.08607564118133,4.245227737745149,5.915730728152395
2024-02-11,5.046862543075115,4.2731179716105245,5.881254962565192
2024-02-18,5.0076494449689,4.237886470131525,5.759905433353538
2024-02-25,4.968436346862684,4.188544569277582,5.796744707555489
2024-03-03,4.92922325950532,4.120449986380358,5.779211595631988
2024-03-10,4.890010172147956,4.063189960962059,5.726184406234538
2024-03-17,4.850797084790592,4.067687176809254,5.712645304248837
2024-03-24,4.811584098798793,3.9881934461831623,5.710436243149353
2024-03-31,4.772371112806994,3.9272177149338074,5.578907110484311
2024-04-07,4.733158126815195,3.9410551449522484,5.552581937975003
2024-04-14,4.693945140823396,3.8581932504744727,5.543635922702622
2024-04-21,4.656784617508777,3.8033453785257882,5.4280478742774845
2024-04-28,4.619624094194157,3.827182988550378,5.517202105009623
2024-05-05,4.582463570879538,3.7698826525459515,5.388521930450839
2024-05-12,4.553515588807114,3.7223384189363813,5.343938217687158
2024-05-19,4.52456760673469,3.674465962380375,5.341371503688364
2024-05-26,4.4956196246622655,3.6968773151793703,5.285779208910894
2024-06-02,4.467098855598821,3.674351668420012,5.352115435012656
2024-06-09,4.438578086535377,3.6580538323590184,5.2673362506741315
2024-06-16,4.410057317471932,3.62730530782978,5.254191808336771
2024-06-23,4.381536556070321,3.5139473476898853,5.179010246703691
2024-06-30,4.3530157946687105,3.5600517694370484,5.243715293926895
2024-07-07,4.324495033267099,3.455337280319024,5.177330376797934
2024-07-14,4.295974271545481,3.4466644781094713,5.13271417755605
2024-07-21,4.267453509823863,3.4238759302750514,5.108325577997978
2024-07-28,4.238932748102244,3.4353779045195836,5.016744593450665
2024-08-04,4.210411982502568,3.4345466153898565,5.053520069264909
2024-08-11,4.181891216902892,3.320235601069913,5.049647305690446
2024-08-18,4.153370451303216,3.3362919491292296,4.957906720156271
2024-08-25,4.1248496857035395,3.27760184985474,4.93573674309776
2024-09-01,4.09632891943866,3.311718499421572,4.894768124622098
2024-09-08,4.067808153173781,3.2565880406377263,4.902162383402676
2024-09-15,4.039287386908902,3.1917530882014034,4.8469730730250316
2024-09-22,4.020653479732965,3.1597968758179666,4.94070695658343
2024-09-29,4.002019572557029,3.161251432333012,4.833340680633815
2024-10-06,3.983385665381092,3.1609360450482447,4.852682047176578
2024-10-13,3.979762948319317,3.1335515005659675,4.773165394592677
2024-10-20,3.9761402312575425,3.1418529139318205,4.852615495763252
2024-10-27,3.972517514195767,3.129244020147071,4.807560989348612
2024-11-03,3.9842739205390854,3.141849012966286,4.820145565437783
2024-11-10,3.9960303268824036,3.15451684355149,4.8457194323940564
2024-11-17,4.007786733225722,3.226629692641377,4.8543089178278
2024-11-24,4.02951780995096,3.149923768867646,4.9258057702376945
2024-12-01,4.051248886676197,3.2183468361991725,4.82937209590695
2024-12-08,4.072979963401435,3.220574199857365,4.993962555821134
2024-12-15,4.094711039616583,3.2601526121558684,4.888798594575577
2024-12-22,4.116442115831732,3.279939899029913,4.9455904268851985
2024-12-29,4.138173192046881,3.313470914714433,4.972256393208606
2025-01-05,4.159904268262029,3.3271662066810883,5.018668747990253
2025-01-12,4.181635341750033,3.3304465574027784,4.981785561944501
2025-01-19,4.203366415238036,3.334288493537512,5.042053400870008
2025-01-26,4.225097488726039,3.4102534445416217,5.125693885234785
2025-02-02,4.244187514119759,3.4053361687228176,5.183847127889992
2025-02-09,4.2632775395134805,3.430662186848783,5.0301526126336515
2025-02-16,4.282367564907202,3.4444274658348277,5.126301050477157
2025-02-23,4.294776269122933,3.4939037461871103,5.136627922659453
2025-03-02,4.307184973338664,3.4389438738803473,5.156191363137594
2025-03-09,4.319593677554394,3.505204844692685,5.084471590314626
2025-03-16,4.329609617694335,3.5165476180771735,5.185240068690471
2025-03-23,4.3396255578342755,3.587596925476425,5.2025244430152835
2025-03-30,4.349641497974217,3.4954115397008025,5.190705327027976
2025-04-06,4.359651805845605,3.544736391772615,5.193433411932918
2025-04-13,4.369662113716992,3.551582670456745,5.19686838237777
2025-04-20,4.37967242158838,3.5241731636109517,5.213554790540791
2025-04-27,4.389682730559124,3.6291000764614467,5.25497157281056
2025-05-04,4.399693039529867,3.618370884737246,5.233578492903621
2025-05-11,4.40970334850061,3.609522411029956,5.24464505780008
2025-05-18,4.419713657471353,3.7238325649350887,5.289996046909966
2025-05-25,4.429723967698422,3.592485937082457,5.2639527494506835
2025-06-01,4.439734277925491,3.614403575832464,5.277720112560127
2025-06-08,4.4497445881525595,3.6172311287207095,5.261468574623533
2025-06-15,4.460331228814085,3.623002800038075,5.295961145653003
2025-06-22,4.4709178694756115,3.648462962841239,5.268433620462926
2025-06-29,4.481504510137137,3.6418205476260823,5.302895974278874
2025-07-06,4.492785739828974,3.723734551026798,5.342291112885849
2025-07-13,4.50406696952081,3.656024175129726,5.309721027529424
2025-07-20,4.515348199212648,3.70850224689464,5.278378247467025
2025-07-27,4.526629441885514,3.66247765554579,5.397198234955105
2025-08-03,4.537910684558379,3.720682985469912,5.412745418130905
2025-08-10,4.549191927231246,3.6762166231623192,5.372098204300954
2025-08-17,4.560473169904112,3.6941926257661266,5.313960698486559
2025-08-24,4.571754412576978,3.7616660201957997,5.427752487574927
2025-08-31,4.583035655249844,3.778257859695447,5.4187223400678795
2025-09-07,4.5943168979227105,3.7920175307356185,5.353294593336849
2025-09-14,4.605598140595577,3.699026300496436,5.408437236473097
2025-09-21,4.616879383268443,3.8082562190523106,5.4682166110806
2025-09-28,4.628160625941309,3.7756018767976265,5.456818521325361
2025-10-05,4.639441868614175,3.8161167434427186,5.523691543811483
2025-10-12,4.650723111287041,3.8564164757949695,5.508745083306038
2025-10-19,4.662004353959907,3.80971648748428,5.507771171591571
2025-10-26,4.673285596632773,3.8962964240699085,5.445612218242193
2025-11-02,4.684566839305639,3.891554514809315,5.51851842642686
2025-11-09,4.695848081978506,3.9333562871396923,5.520267926014828
2025-11-16,4.707129324651372,3.8698251627793816,5.450959501696704
2025-11-23,4.718410567324238,3.957721399521377,5.542949677630454
